NormalTweet,SpamTweet,EditDistance
Tweet1,SpamTweet1,79
Tweet1,SpamTweet2,125
Tweet1,SpamTweet3,43
Tweet1,SpamTweet4,130
Tweet1,SpamTweet5,66
Tweet1,SpamTweet6,55
Tweet1,SpamTweet7,119
Tweet1,SpamTweet8,119
Tweet1,SpamTweet9,38
Tweet1,SpamTweet10,81
Tweet1,SpamTweet11,40
Tweet1,SpamTweet12,56
Tweet1,SpamTweet13,53
Tweet1,SpamTweet14,52
Tweet1,SpamTweet15,53
Tweet1,SpamTweet16,56
Tweet1,SpamTweet17,55
Tweet1,SpamTweet18,57
Tweet1,SpamTweet19,45
Tweet1,SpamTweet20,45
Tweet2,SpamTweet1,84
Tweet2,SpamTweet2,100
Tweet2,SpamTweet3,81
Tweet2,SpamTweet4,102
Tweet2,SpamTweet5,80
Tweet2,SpamTweet6,81
Tweet2,SpamTweet7,96
Tweet2,SpamTweet8,94
Tweet2,SpamTweet9,84
Tweet2,SpamTweet10,78
Tweet2,SpamTweet11,80
Tweet2,SpamTweet12,82
Tweet2,SpamTweet13,82
Tweet2,SpamTweet14,82
Tweet2,SpamTweet15,82
Tweet2,SpamTweet16,80
Tweet2,SpamTweet17,81
Tweet2,SpamTweet18,80
Tweet2,SpamTweet19,82
Tweet2,SpamTweet20,81
Tweet3,SpamTweet1,81
Tweet3,SpamTweet2,100
Tweet3,SpamTweet3,78
Tweet3,SpamTweet4,103
Tweet3,SpamTweet5,70
Tweet3,SpamTweet6,74
Tweet3,SpamTweet7,98
Tweet3,SpamTweet8,93
Tweet3,SpamTweet9,75
Tweet3,SpamTweet10,77
Tweet3,SpamTweet11,76
Tweet3,SpamTweet12,63
Tweet3,SpamTweet13,75
Tweet3,SpamTweet14,75
Tweet3,SpamTweet15,74
Tweet3,SpamTweet16,76
Tweet3,SpamTweet17,74
Tweet3,SpamTweet18,72
Tweet3,SpamTweet19,78
Tweet3,SpamTweet20,78
Tweet4,SpamTweet1,70
Tweet4,SpamTweet2,110
Tweet4,SpamTweet3,54
Tweet4,SpamTweet4,110
Tweet4,SpamTweet5,60
Tweet4,SpamTweet6,58
Tweet4,SpamTweet7,102
Tweet4,SpamTweet8,100
Tweet4,SpamTweet9,57
Tweet4,SpamTweet10,71
Tweet4,SpamTweet11,56
Tweet4,SpamTweet12,56
Tweet4,SpamTweet13,55
Tweet4,SpamTweet14,58
Tweet4,SpamTweet15,54
Tweet4,SpamTweet16,58
Tweet4,SpamTweet17,57
Tweet4,SpamTweet18,56
Tweet4,SpamTweet19,57
Tweet4,SpamTweet20,56
Tweet5,SpamTweet1,68
Tweet5,SpamTweet2,103
Tweet5,SpamTweet3,53
Tweet5,SpamTweet4,108
Tweet5,SpamTweet5,60
Tweet5,SpamTweet6,50
Tweet5,SpamTweet7,97
Tweet5,SpamTweet8,98
Tweet5,SpamTweet9,51
Tweet5,SpamTweet10,69
Tweet5,SpamTweet11,52
Tweet5,SpamTweet12,56
Tweet5,SpamTweet13,57
Tweet5,SpamTweet14,57
Tweet5,SpamTweet15,58
Tweet5,SpamTweet16,59
Tweet5,SpamTweet17,56
Tweet5,SpamTweet18,56
Tweet5,SpamTweet19,53
Tweet5,SpamTweet20,52
